date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
2017-05-01,2017,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,165,6,162,8,Mumbai Indians,complete,0,5,RG Sharma,M Nayyar,AK Chaudhary,CB Gaffaney,A Deshmukh,N Pandit,20,"PA Patel, JC Buttler, N Rana, RG Sharma, KA Pollard, KH Pandya, KV Sharma, HH Pandya, MJ McClenaghan, SL Malinga, JJ Bumrah","V Kohli, Mandeep Singh, TM Head, AB de Villiers, KM Jadhav, SR Watson, P Negi, AF Milne, S Aravind, A Choudhary, YS Chahal"
2017-05-02,2017,Delhi,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,field,189,4,185,3,Delhi Daredevils,complete,0,6,Mohammed Shami,AJ Pycroft,YC Barde,Nitin Menon,CK Nandan,K Srinivasan,20,"SV Samson, KK Nair, RR Pant, SS Iyer, CJ Anderson, CH Morris, AD Mathews, J Yadav, K Rabada, A Mishra, Mohammed Shami","DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, DJ Hooda, NV Ojha, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj"
2017-05-03,2017,Kolkata,Eden Gardens,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,155,8,158,6,Rising Pune Supergiant,complete,0,4,RA Tripathi,J Srinath,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,Navdeep Singh,20,"SP Narine, G Gambhir, SP Jackson, MK Pandey, YK Pathan, C de Grandhomme, SA Yadav, CR Woakes, NM Coulter-Nile, UT Yadav, Kuldeep Yadav","AM Rahane, RA Tripathi, SPD Smith, MK Tiwary, BA Stokes, MS Dhoni, DT Christian, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir"
2017-05-04,2017,Delhi,Feroz Shah Kotla,Delhi Daredevils,Gujarat Lions,Delhi Daredevils,field,214,3,208,7,Delhi Daredevils,complete,0,7,RR Pant,M Nayyar,M Erasmus,Nitin Menon,CK Nandan,K Srinivasan,20,"SV Samson, KK Nair, RR Pant, SS Iyer, CJ Anderson, MN Samuels, PJ Cummins, K Rabada, S Nadeem, A Mishra, Mohammed Shami","DR Smith, BB McCullum, SK Raina, KD Karthik, AJ Finch, Ishan Kishan, RA Jadeja, JP Faulkner, PJ Sangwan, Basil Thampi, Ankit Soni"
2017-05-05,2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,119,10,138,7,Kings XI Punjab,complete,19,0,Sandeep Sharma,V Narayan Kutty,CB Gaffaney,C Shamshuddin,AY Dandekar,N Pandit,20,"Mandeep Singh, CH Gayle, V Kohli, AB de Villiers, KM Jadhav, SR Watson, P Negi, S Aravind, S Badree, A Choudhary, YS Chahal","HM Amla, MJ Guptill, SE Marsh, M Vohra, WP Saha, GJ Maxwell, AR Patel, MM Sharma, VR Aaron, Sandeep Sharma, T Natarajan"
2017-05-06,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,136,9,148,8,Rising Pune Supergiant,complete,12,0,JD Unadkat,Chinmay Sharma,KN Ananthapadmanabhan,AK Chaudhary,M Erasmus,R Pandit,20,"DA Warner, S Dhawan, KS Williamson, Yuvraj Singh, MC Henriques, NV Ojha, Bipul Sharma, Rashid Khan, B Kumar, S Kaul, A Nehra","AM Rahane, RA Tripathi, SPD Smith, BA Stokes, MS Dhoni, DT Christian, MK Tiwary, Washington Sundar, SN Thakur, JD Unadkat, Imran Tahir"
2017-05-06,2017,Delhi,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,field,66,10,212,3,Mumbai Indians,complete,146,0,LMP Simmons,M Nayyar,Nitin Menon,CK Nandan,YC Barde,K Srinivasan,20,"SV Samson, KK Nair, SS Iyer, RR Pant, CJ Anderson, MN Samuels, PJ Cummins, K Rabada, A Mishra, Mohammed Shami, Z Khan","LMP Simmons, PA Patel, KA Pollard, RG Sharma, HH Pandya, N Rana, KV Sharma, Harbhajan Singh, MJ McClenaghan, SL Malinga, JJ Bumrah"
2017-05-07,2017,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,158,6,159,4,Kolkata Knight Riders,complete,0,6,SP Narine,AJ Pycroft,AY Dandekar,C Shamshuddin,CB Gaffaney,N Pandit,20,"CH Gayle, Mandeep Singh, V Kohli, AB de Villiers, TM Head, KM Jadhav, P Negi, S Aravind, S Badree, A Choudhary, YS Chahal","CA Lynn, SP Narine, C de Grandhomme, G Gambhir, MK Pandey, YK Pathan, SP Jackson, CR Woakes, UT Yadav, PP Chawla, AS Rajpoot"
2017-05-07,2017,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,189,3,192,4,Gujarat Lions,complete,0,6,DR Smith,J Srinath,A Nand Kishore,VK Sharma,S Ravi,Navdeep Singh,20,"MJ Guptill, HM Amla, SE Marsh, GJ Maxwell, AR Patel, WP Saha, Gurkeerat Singh, MM Sharma, Sandeep Sharma, VR Aaron, T Natarajan","DR Smith, Ishan Kishan, SK Raina, KD Karthik, AJ Finch, RA Jadeja, JP Faulkner, DS Kulkarni, PJ Sangwan, Basil Thampi, Ankit Soni"
2017-05-08,2017,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,140,3,138,7,Sunrisers Hyderabad,complete,0,7,S Dhawan,Chinmay Sharma,KN Ananthapadmanabhan,M Erasmus,AK Chaudhary,R Pandit,20,"DA Warner, S Dhawan, MC Henriques, Yuvraj Singh, V Shankar, Mohammad Nabi, NV Ojha, B Kumar, Rashid Khan, S Kaul, Mohammed Siraj","LMP Simmons, PA Patel, N Rana, RG Sharma, HH Pandya, KA Pollard, KV Sharma, Harbhajan Singh, MJ McClenaghan, JJ Bumrah, SL Malinga"
